date	weekend	cinco	Israel	Syria	WeWillWaitKimJongWoon	kpop
20111001	0	0	0	0	0	0
20111002	46	31	19	0	0	0
20111003	62	37	36	0	0	0
20111004	61	34	32	0	0	0
20111005	46	37	70	0	0	0
20111006	29	11	9	8	0	0
20111007	45	34	36	39	0	0
20111008	61	32	44	34	0	0
20111009	38	32	48	23	0	0
20111010	56	29	46	36	0	0
20111011	54	44	40	31	0	0
20111012	22	16	19	17	61	0
20111013	43	37	30	31	102	0
20111014	62	34	34	24	114	0
20111015	52	43	25	28	111	0
20111016	66	41	34	30	108	0
20111017	55	30	25	29	113	0
20111018	57	44	40	35	107	0
20111019	75	45	27	29	89	0
20111020	46	36	28	22	101	0
20111021	56	38	48	38	106	0
20111022	46	46	110	105	96	0
20111023	48	35	185	179	98	0
20111024	51	44	117	102	104	0
20111025	54	38	150	150	80	0
20111026	57	35	171	188	89	8
20111027	53	30	43	89	111	13
20111028	46	45	22	92	105	16
20111029	40	40	45	33	100	11
20111030	69	37	38	32	76	18
20111031	62	35	56	42	97	15
20111032	69	32	74	58	104	20
20111033	47	29	131	132	88	19
20111034	50	30	196	185	84	15
20111035	56	29	187	171	92	18
20111036	50	39	141	133	85	24
20111037	55	49	118	125	102	28
20111038	54	43	60	66	106	15
20111039	56	32	53	28	120	25
20111040	50	41	31	33	118	22
20111041	46	40	20	24	109	13
20111042	68	35	43	48	96	22
20111043	60	47	43	32	104	19
20111044	59	40	36	39	119	29
20111045	63	49	53	56	95	30
20111046	50	51	42	39	98	20
20111047	46	33	33	38	99	15
20111048	49	45	43	44	87	16
20111049	54	47	39	42	101	15
